,pcid,compName,smile,iupac name
108,166431,"1,1-Diethoxyhex-3-ene",CCC=CCC(OCC)OCC,"1,1-diethoxyhex-3-ene"
109,105533,"1,1-Diethoxynona-2,6-diene",CCC=CCCC=CC(OCC)OCC,"1,1-diethoxynona-2,6-diene"
110,108625,"1,1-Diethoxynonane",CCCCCCCCC(OCC)OCC,"1,1-diethoxynonane"
111,101364,"1,1-Diethoxyoctane",CCCCCCCC(OCC)OCC,"1,1-diethoxyoctane"
112,77223,"1,1-Diethoxypentane",CCCCC(OCC)OCC,"1,1-diethoxypentane"
113,20858,"1,1-Diethoxypropane",CCC(OCC)OCC,"1,1-diethoxypropane"
114,104486,"1,1-Diethoxyundecane",CCCCCCCCCCC(OCC)OCC,"1,1-diethoxyundecane"
115,21503,"1,1-Dihexyloxyethane",CCCCCCOC(C)OCCCCCC,1-(1-hexoxyethoxy)hexane
116,62336,"1,1-Dimethoxy-2-phenylpropane",CC(C1=CC=CC=C1)C(OC)OC,"1,1-dimethoxypropan-2-ylbenzene"
117,24513,"1,1-Dimethoxydecane",CCCCCCCCCC(OC)OC,"1,1-dimethoxydecane"
118,10795,"1,1-Dimethoxyethane",CC(OC)OC,"1,1-dimethoxyethane"
119,61453,"1,1-Dimethoxyheptane",CCCCCCC(OC)OC,"1,1-dimethoxyheptane"
120,74137,"1,1-Dimethoxyhexane",CCCCCC(OC)OC,"1,1-dimethoxyhexane"
121,61431,"1,1-Dimethoxyoctane",CCCCCCCC(OC)OC,"1,1-dimethoxyoctane"
122,117799,"1,1-Dimethoxypentane",CCCCC(OC)OC,"1,1-dimethoxypentane"
123,20859,"1,1-Dimethoxypropane",CCC(OC)OC,"1,1-dimethoxypropane"
124,88561,"1,1-Dimethylethyl propionate",CCC(=O)OC(C)(C)C,tert-butyl propanoate
125,83035,"1,1-Dipentyloxyethane",CCCCCOC(C)OCCCCC,1-(1-pentoxyethoxy)pentane
126,24624,"1,1,3-Triethoxypropane",CCOCCC(OCC)OCC,"1,1,3-triethoxypropane"
127,1317,"1,10-Decanediamine",C(CCCCCN)CCCCN,"decane-1,10-diamine"
128,85266,"1,2-Bis(triethoxysilyl)ethane",CCO[Si](CC[Si](OCC)(OCC)OCC)(OCC)OCC,triethoxy(2-triethoxysilylethyl)silane
129,11524680,"1,2-Cyclohexanedicarboxylic acid, diisononyl ester",CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C,"bis(7-methyloctyl) cyclohexane-1,2-dicarboxylate"
130,86749,"1,2-Dihydrolinalool",CCC(C)(CCC=C(C)C)O,"3,7-dimethyloct-6-en-3-ol"
131,61400,"1,2-Dimethoxy-4-vinylbenzene",COC1=C(C=C(C=C1)C=C)OC,"4-ethenyl-1,2-dimethoxybenzene"
132,7043,"1,2-Dimethoxybenzene",COC1=CC=CC=C1OC,"1,2-dimethoxybenzene"
133,12462,"1,2,3-Trimethoxybenzene",COC1=C(C(=CC=C1)OC)OC,"1,2,3-trimethoxybenzene"
134,11288106,"1,2,3,4-Tetrahydronaphthalene-2,6-dicarboxylic acid, dimethyl ester",COC(=O)C1CCC2=C(C1)C=CC(=C2)C(=O)OC,"dimethyl 1,2,3,4-tetrahydronaphthalene-2,6-dicarboxylate"
135,162452,"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-trimethylnaphthalen-2-ol",CC1(CCC=C2C1CCC(C2)(C)O)C,"2,5,5-trimethyl-1,3,4,4a,6,7-hexahydronaphthalen-2-ol"
136,15133,"1,3-Benzenedimethanamine",C1=CC(=CC(=C1)CN)CN,[3-(aminomethyl)phenyl]methanamine
137,4277,"1,3-Dicyclohexylurea",C1CCC(CC1)NC(=O)NC2CCCCC2,"1,3-dicyclohexylurea"
138,9025,"1,3-Dimethoxy-benzene",COC1=CC(=CC=C1)OC,"1,3-dimethoxybenzene"
139,81221,"1,3-Dimethyl-4-methoxybenzene",CC1=CC(=C(C=C1)OC)C,"1-methoxy-2,4-dimethylbenzene"
140,12586,"1,3-Dioxolane",C1COCO1,"1,3-dioxolane"
141,8081,"1,3,5-Trioxane",C1OCOCO1,"1,3,5-trioxane"
142,53421640,"1,3,5-Tris(2,2-dimethylpropanamido)benzene",CC(C)(C)C(=O)NC1=CC(=CC(=C1)NC(=O)C(C)(C)C)NC(=O)C(C)(C)C,"N-[3,5-bis(2,2-dimethylpropanoylamino)phenyl]-2,2-dimethylpropanamide"
143,7735,"1,4-Bis(hydroxymethyl)cyclohexane",C1CC(CCC1CO)CO,[4-(hydroxymethyl)cyclohexyl]methanol
144,8064,"1,4-Butanediol",C(CCO)CO,"butane-1,4-diol"
145,10106,"1,4-Cineole",CC(C)C12CCC(O1)(CC2)C,1-methyl-4-propan-2-yl-7-oxabicyclo[2.2.1]heptane
146,14106,"1,4-Cyclohexanedicarboxylic acid",C1CC(CCC1C(=O)O)C(=O)O,"cyclohexane-1,4-dicarboxylic acid"
147,9016,"1,4-Dimethoxy-benzene",COC1=CC=C(C=C1)OC,"1,4-dimethoxybenzene"
148,11304,"1,4-Dimethylnaphthalene",CC1=CC=C(C2=CC=CC=C12)C,"1,4-dimethylnaphthalene"
149,12597,"1,4:3,6-Dianhydrosorbitol",C1C(C2C(O1)C(CO2)O)O,"(3S,3aR,6R,6aR)-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan-3,6-diol"
150,19460,"1,7-octadiene",C=CCCCCC=C,"octa-1,7-diene"
151,2758,"1,8-Cineole",CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane"
152,3081712,11-oxotetrodotoxin,C12C3C(C4C(C1(C(C(O3)(O4)O)O)NC(=NC2O)N)O)(C(O)O)O,"3-amino-14-(dihydroxymethyl)-8,10-dioxa-2,4-diazatetracyclo[7.3.1.17,11.01,6]tetradec-3-ene-5,9,12,13,14-pentol"
153,20725980,"12-(Acetoxy)stearic acid, 2,3-bis(acetoxy)propyl ester",CCCCCCC(CCCCCCCCCCC(=O)OCC(COC(=O)C)OC(=O)C)OC(=O)C,"2,3-diacetyloxypropyl 12-acetyloxyoctadecanoate"
